claim_id,claim,claim_label,evidences,CARDS_label
0,Global warming is driving polar bears toward extinction,0,"[{'article': 'Extinction risk from global warming', 'entropy': 0.6931471824645996, 'evidence': '""Recent Research Shows Human Activity Driving Earth Towards Global Extinction Event"".', 'evidence_id': 'Extinction risk from global warming:170', 'evidence_label': 2, 'votes': array(['SUPPORTS', 'NOT_ENOUGH_INFO', None, None, None], dtype=object)}
 {'article': 'Global warming', 'entropy': 0.0, 'evidence': 'Environmental impacts include the extinction or relocation of many species as their ecosystems change, most immediately the environments of coral reefs, mountains, and the Arctic.', 'evidence_id': 'Global warming:14', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Global warming', 'entropy': 0.6931471824645996, 'evidence': 'Rising temperatures push bees to their physiological limits, and could cause the extinction of bee populations.', 'evidence_id': 'Global warming:178', 'evidence_label': 2, 'votes': array(['SUPPORTS', 'NOT_ENOUGH_INFO', None, None, None], dtype=object)}
 {'article': 'Habitat destruction', 'entropy': 0.0, 'evidence': 'Rising global temperatures, caused by the greenhouse effect, contribute to habitat destruction, endangering various species, such as the polar bear.', 'evidence_id': 'Habitat destruction:61', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Polar bear', 'entropy': 0.6931471824645996, 'evidence': '""Bear hunting caught in global warming debate"".', 'evidence_id': 'Polar bear:1328', 'evidence_label': 2, 'votes': array(['SUPPORTS', 'NOT_ENOUGH_INFO', None, None, None], dtype=object)}]",3_2 Species/plants/reefs aren’t showing climate impacts/are benefiting from climate change
5,"The sun has gone into ‘lockdown’ which could cause freezing weather, earthquakes and famine, say scientists",0,"[{'article': 'Famine', 'entropy': 0.0, 'evidence': ""The current consensus of the scientific community is that the aerosols and dust released into the upper atmosphere causes cooler temperatures by preventing the sun's energy from reaching the ground."", 'evidence_id': 'Famine:386', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Weather', 'entropy': 0.0, 'evidence': 'The Little Ice Age caused crop failures and famines in Europe.', 'evidence_id': 'Weather:67', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Winter', 'entropy': 0.0, 'evidence': 'The persistently cold, wet weather caused great hardship, was primarily responsible for the Great Famine of 1315–1317, and strongly contributed to the weakened immunity and malnutrition leading up to the Black Death (1348–1350).', 'evidence_id': 'Winter:114', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Winter', 'entropy': 0.6931471824645996, 'evidence': 'The manifestation of the meteorological winter (freezing temperatures) in the northerly snow–prone latitudes is highly variable depending on elevation, position versus marine winds and the amount of precipitation.', 'evidence_id': 'Winter:20', 'evidence_label': 2, 'votes': array(['REFUTES', 'NOT_ENOUGH_INFO', None, None, None], dtype=object)}
 {'article': 'Winter', 'entropy': 0.6931471824645996, 'evidence': 'In many regions, winter is associated with snow and freezing temperatures.', 'evidence_id': 'Winter:5', 'evidence_label': 2, 'votes': array(['REFUTES', 'NOT_ENOUGH_INFO', None, None, None], dtype=object)}]",1_3 Weather is cold/snowing
6,The polar bear population has been growing.,1,"[{'article': 'Polar bear', 'entropy': 0.6931471824645996, 'evidence': '""Ask the experts: Are polar bear populations increasing?"".', 'evidence_id': 'Polar bear:1332', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'REFUTES', None, None, None], dtype=object)}
 {'article': 'Polar bear', 'entropy': 0.6931471824645996, 'evidence': 'The growth of the human population in the Eurasian Arctic in the 16th and 17th century, together with the advent of firearms and increasing trade, dramatically increased the harvest of polar bears.', 'evidence_id': 'Polar bear:272', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'REFUTES', None, None, None], dtype=object)}
 {'article': 'Polar bear', 'entropy': 0.6931471824645996, 'evidence': 'The numbers taken grew rapidly in the 1960s, peaking around 1968 with a global total of 1,250 bears that year.', 'evidence_id': 'Polar bear:280', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Polar bear', 'entropy': 0.0, 'evidence': 'In two areas where harvest levels have been increased based on increased sightings, science-based studies have indicated declining populations, and a third area is considered data-deficient.', 'evidence_id': 'Polar bear:308', 'evidence_label': 1, 'votes': array(['REFUTES', 'REFUTES', None, None, None], dtype=object)}
 {'article': 'Polar bear', 'entropy': 0.0, 'evidence': 'Of the 19 recognized polar bear subpopulations, one is in decline, two are increasing, seven are stable, and nine have insufficient data, as of 2017.', 'evidence_id': 'Polar bear:61', 'evidence_label': 1, 'votes': array(['REFUTES', 'REFUTES', None, None, None], dtype=object)}]",3_2 Species/plants/reefs aren’t showing climate impacts/are benefiting from climate change
9,Ironic' study finds more CO2 has slightly cooled the planet,1,"[{'article': 'Atmosphere of Mars', 'entropy': 0.6931471824645996, 'evidence': 'CO2 in the mesosphere acts as a cooling agent by efficiently radiating heat into space.', 'evidence_id': 'Atmosphere of Mars:131', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Atmosphere of Mars', 'entropy': 0.6931471824645996, 'evidence': 'The higher concentration of CO2 in the Martian thermosphere may explain part of the discrepancy because of the cooling effects of CO2 in high altitude.', 'evidence_id': 'Atmosphere of Mars:136', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': ""Carbon dioxide in Earth's atmosphere"", 'entropy': 0.0, 'evidence': ""This increase of CO 2 and other long-lived greenhouse gases in Earth's atmosphere has produced the current episode of global warming."", 'evidence_id': ""Carbon dioxide in Earth's atmosphere:10"", 'evidence_label': 1, 'votes': array(['REFUTES', 'REFUTES', None, None, None], dtype=object)}
 {'article': ""Carbon dioxide in Earth's atmosphere"", 'entropy': 0.0, 'evidence': ""The greenhouse effect is a process by which thermal radiation from a planetary atmosphere warms the planet's surface beyond the temperature it would have in the absence of its atmosphere."", 'evidence_id': ""Carbon dioxide in Earth's atmosphere:63"", 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None],
       dtype=object)}
 {'article': 'Carbon dioxide', 'entropy': 0.0, 'evidence': 'Less energy reaches the upper atmosphere, which is therefore cooler because of this absorption.', 'evidence_id': 'Carbon dioxide:191', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None, None],
       dtype=object)}                                                                                                                                                                                                                                                                           ]",2_3 There’s no evidence for greenhouse effect/carbon dioxide driving climate change
10,Human additions of CO2 are in the margin of error of current measurements and the gradual increase in CO2 is mainly from oceans degassing as the planet slowly emerges from the last ice age.,1,"[{'article': ""Carbon dioxide in Earth's atmosphere"", 'entropy': 0.6931471824645996, 'evidence': 'While CO 2 absorption and release is always happening as a result of natural processes, the recent rise in CO 2 levels in the atmosphere is known to be mainly due to human (anthropogenic) activity.', 'evidence_id': ""Carbon dioxide in Earth's atmosphere:140"", 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'REFUTES', None, None, None], dtype=object)}
 {'article': ""Carbon dioxide in Earth's atmosphere"", 'entropy': 0.6931471824645996, 'evidence': 'The burning of long-buried fossil fuels releases CO 2 containing carbon of different isotopic ratios to those of living plants, enabling distinction between natural and human-caused contributions to CO 2 concentration.', 'evidence_id': ""Carbon dioxide in Earth's atmosphere:144"", 'evidence_label': 2, 'votes': array(['SUPPORTS', 'REFUTES', None, None, None], dtype=object)}
 {'article': ""Carbon dioxide in Earth's atmosphere"", 'entropy': 0.6931471824645996, 'evidence': 'The beginning of human agriculture during the current Holocene epoch may have been strongly connected to the atmospheric CO 2 increase after the last ice age ended, a fertilization effect raising plant biomass growth and reducing stomatal conductance requirements for CO 2 intake, consequently reducing transpiration water losses and increasing water usage efficiency.', 'evidence_id': ""Carbon dioxide in Earth's atmosphere:42"", 'evidence_label': 2, 'votes': array(['SUPPORTS', 'REFUTES', None, None, None], dtype=object)}
 {'article': 'Ocean acidification', 'entropy': 0.6931471824645996, 'evidence': ""Ocean acidification is the ongoing decrease in the pH of the Earth's oceans, caused by the uptake of carbon dioxide (CO 2) from the atmosphere."", 'evidence_id': 'Ocean acidification:0', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'REFUTES', None, None, None], dtype=object)}
 {'article': 'Sea', 'entropy': 0.0, 'evidence': 'More recently, anthropogenic activities have steadily increased the carbon dioxide content of the atmosphere; about 30–40% of the added CO2 is absorbed by the oceans, forming carbonic acid and lowering the pH (now below 8.1) through a process called ocean acidification.', 'evidence_id': 'Sea:226', 'evidence_label': 1, 'votes': array(['REFUTES', 'REFUTES', None, None, None], dtype=object)}]",2_3 There’s no evidence for greenhouse effect/carbon dioxide driving climate change
11,They tell us that we are the primary forces controlling earth temperatures by the burning of fossil fuels and releasing their carbon dioxide.,0,"[{'article': 'Carbon dioxide', 'entropy': 0.0, 'evidence': 'Most carbon dioxide from human activities is released from burning coal and other fossil fuels.', 'evidence_id': 'Carbon dioxide:183', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Carbon dioxide', 'entropy': 0.0, 'evidence': 'Since the Industrial Revolution anthropogenic emissions – primarily from use of fossil fuels and deforestation – have rapidly increased its concentration in the atmosphere, leading to global warming.', 'evidence_id': 'Carbon dioxide:21', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Greenhouse gas', 'entropy': 0.0, 'evidence': 'The main sources of greenhouse gases due to human activity are: burning of fossil fuels and deforestation leading to higher carbon dioxide concentrations in the air.', 'evidence_id': 'Greenhouse gas:132', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Greenhouse gas', 'entropy': 0.0, 'evidence': 'At present, the primary source of CO 2 emissions is the burning of coal, natural gas, and petroleum for electricity and heat.', 'evidence_id': 'Greenhouse gas:186', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Petroleum', 'entropy': 0.6931471824645996, 'evidence': 'When burned, petroleum releases carbon dioxide, a greenhouse gas.', 'evidence_id': 'Petroleum:271', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'SUPPORTS', None, None, None], dtype=object)}]",2_3 There’s no evidence for greenhouse effect/carbon dioxide driving climate change
14,The Great Barrier Reef is experiencing the most widespread bleaching ever recorded,0,"[{'article': 'Coral bleaching', 'entropy': 0.0, 'evidence': 'These temperatures have caused the most severe and widespread coral bleaching ever recorded in the Great Barrier reef.', 'evidence_id': 'Coral bleaching:52', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Great Barrier Reef', 'entropy': 0.0, 'evidence': 'A March 2016 report stated that coral bleaching was more widespread than previously thought, seriously affecting the northern parts of the reef as a result of warming ocean temperatures.', 'evidence_id': 'Great Barrier Reef:14', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Great Barrier Reef', 'entropy': 0.6931471824645996, 'evidence': 'The decline in the quality of water over the past 150 years (due to development) has contributed to coral bleaching, algal blooms, and pesticide pollution.', 'evidence_id': 'Great Barrier Reef:179', 'evidence_label': 2, 'votes': array(['REFUTES', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Great Barrier Reef', 'entropy': 0.0, 'evidence': 'Other environmental pressures on the reef and its ecosystem include runoff, climate change accompanied by mass coral bleaching, dumping of dredging sludge and cyclic population outbreaks of the crown-of-thorns starfish.', 'evidence_id': 'Great Barrier Reef:8', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}
 {'article': 'Great Barrier Reef', 'entropy': 0.0, 'evidence': 'Mass coral bleaching events due to elevated ocean temperatures occurred in the summers of 1998, 2002 and 2006, and coral bleaching is expected to become an annual occurrence.', 'evidence_id': 'Great Barrier Reef:96', 'evidence_label': 0, 'votes': array(['SUPPORTS', 'SUPPORTS', None, None, None], dtype=object)}]",3_2 Species/plants/reefs aren’t showing climate impacts/are benefiting from climate change
18,it’s not a pollutant that threatens human civilization.,1,"[{'article': 'Air pollution', 'entropy': 0.0, 'evidence': 'An air pollutant is a material in the air that can have adverse effects on humans and the ecosystem.', 'evidence_id': 'Air pollution:12', 'evidence_label': 1, 'votes': array([None, 'REFUTES', 'REFUTES', None, None], dtype=object)}
 {'article': 'Global catastrophic risk', 'entropy': 0.0, 'evidence': 'A global catastrophic risk is a hypothetical future event which could damage human well-being on a global scale, even endangering or destroying modern civilization.', 'evidence_id': 'Global catastrophic risk:0', 'evidence_label': 2, 'votes': array([None, 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}
 {'article': 'Global catastrophic risk', 'entropy': 0.0, 'evidence': 'The report warned that the pollution crisis was exceeding ""the envelope on the amount of pollution the Earth can carry"" and “threatens the continuing survival of human societies”.', 'evidence_id': 'Global catastrophic risk:104', 'evidence_label': 1, 'votes': array([None, 'REFUTES', 'REFUTES', None, None], dtype=object)}
 {'article': 'Global catastrophic risk', 'entropy': 0.0, 'evidence': 'The present, unprecedented scale and speed of human movement make it more difficult than ever to contain an epidemic through local quarantines, and other sources of uncertainty and the evolving nature of the risk means natural pandemics may pose a realistic threat to human civilization.', 'evidence_id': 'Global catastrophic risk:207', 'evidence_label': 2, 'votes': array([None, 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}
 {'article': 'Global catastrophic risk', 'entropy': 0.6931471824645996, 'evidence': '""Global pollution kills 9m a year and threatens \'survival of human societies\'"".', 'evidence_id': 'Global catastrophic risk:487', 'evidence_label': 2, 'votes': array([None, 'SUPPORTS', 'REFUTES', None, None], dtype=object)}]",3_3 CO2 is beneficial/not a pollutant
19,"If CO2 was so terrible for the planet, then installing a CO2 generator in a greenhouse would kill the plants.",1,"[{'article': ""Carbon dioxide in Earth's atmosphere"", 'entropy': 0.0, 'evidence': ""The greenhouse effect is a process by which thermal radiation from a planetary atmosphere warms the planet's surface beyond the temperature it would have in the absence of its atmosphere."", 'evidence_id': ""Carbon dioxide in Earth's atmosphere:63"", 'evidence_label': 2, 'votes': array([None, 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}
 {'article': 'Carbon dioxide', 'entropy': 0.0, 'evidence': 'At very high concentrations (100 times atmospheric concentration, or greater), carbon dioxide can be toxic to animal life, so raising the concentration to 10,000 ppm (1%) or higher for several hours will eliminate pests such as whiteflies and spider mites in a greenhouse.', 'evidence_id': 'Carbon dioxide:146', 'evidence_label': 1, 'votes': array([None, 'REFUTES', 'REFUTES', None, None], dtype=object)}
 {'article': 'Carbon dioxide', 'entropy': 0.6931471824645996, 'evidence': 'Since the Industrial Revolution anthropogenic emissions – primarily from use of fossil fuels and deforestation – have rapidly increased its concentration in the atmosphere, leading to global warming.', 'evidence_id': 'Carbon dioxide:21', 'evidence_label': 2, 'votes': array([None, 'NOT_ENOUGH_INFO', 'REFUTES', None, None], dtype=object)}
 {'article': 'Terraforming of Mars', 'entropy': 0.0, 'evidence': 'Because its atmosphere consists mainly of CO 2, a known greenhouse gas, once Mars begins to heat, the CO 2 may help to keep thermal energy near the surface.', 'evidence_id': 'Terraforming of Mars:59', 'evidence_label': 2, 'votes': array([None, 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}
 {'article': 'Terraforming of Mars', 'entropy': 0.0, 'evidence': 'These gases are proposed for introduction because they generate a greenhouse effect thousands of times stronger than that of CO 2.', 'evidence_id': 'Terraforming of Mars:78', 'evidence_label': 2, 'votes': array([None, 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}                                                                                                                                                                                                                                                                                                                         ]",3_3 CO2 is beneficial/not a pollutant
21,"Sea level rise has been slow and a constant, pre-dating industrialization",1,"[{'article': 'Russia', 'entropy': 0.6365141868591309, 'evidence': ""Under Stalin's leadership, the government launched a command economy, industrialization of the largely rural country, and collectivization of its agriculture."", 'evidence_id': 'Russia:153', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'REFUTES', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}
 {'article': 'Sea level rise', 'entropy': 0.0, 'evidence': 'Since the last glacial maximum about 20,000 years ago, the sea level has risen by more than 125 metres (410\xa0ft), with rates varying from less than a mm/year to 40+ mm/year, as a result of melting ice sheets over Canada and Eurasia.', 'evidence_id': 'Sea level rise:26', 'evidence_label': 1, 'votes': array(['REFUTES', 'REFUTES', 'REFUTES', None, None], dtype=object)}
 {'article': 'Sea level rise', 'entropy': 0.6365141868591309, 'evidence': '""Climate-change–driven accelerated sea-level rise detected in the altimeter era"".', 'evidence_id': 'Sea level rise:405', 'evidence_label': 2, 'votes': array(['REFUTES', 'NOT_ENOUGH_INFO', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}
 {'article': 'Sea level rise', 'entropy': 0.6365141868591309, 'evidence': 'Data collected by the Commonwealth Scientific and Industrial Research Organisation (CSIRO) in Australia show the current global mean sea level trend to be 3.2\xa0mm (0.13\xa0in) per year, a doubling of the rate during the 20th century.', 'evidence_id': 'Sea level rise:50', 'evidence_label': 1, 'votes': array(['REFUTES', 'REFUTES', 'NOT_ENOUGH_INFO', None, None], dtype=object)}
 {'article': 'Sweden', 'entropy': 0.6365141868591309, 'evidence': 'Between 1870 and 1914, Sweden began developing the industrialised economy that exists today.', 'evidence_id': 'Sweden:173', 'evidence_label': 2, 'votes': array(['NOT_ENOUGH_INFO', 'REFUTES', 'NOT_ENOUGH_INFO', None, None],
       dtype=object)}                                                                                                                                                                                                                                                                            ]",1_6 Sea level rise is exaggerated/not accelerating
